ID,nom,departement,ville,CP,type
0782366Y,Ecole maternelle Maurice Berteaux,78,Carrières-sur-Seine,78420,primaire
0782367Z,Ecole maternelle Victor Hugo,78,Carrières-sur-Seine,78420,primaire
0782373F,Ecole maternelle Francis Julliand,78,Houilles,78800,primaire
0782374G,Ecole maternelle Pauline Kergomard,78,Houilles,78800,primaire
0782375H,Ecole maternelle Victor Schoelcher,78,Houilles,78800,primaire
0782422J,Ecole maternelle Paul Valery,78,Meulan-en-Yvelines,78250,primaire
0782423K,Ecole maternelle Reine Astrid,78,Aubergenville,78410,primaire
0782424L,Ecole maternelle René Coty,78,Maule,78580,primaire
0782425M,Ecole maternelle Molière,78,Les-Mureaux,78130,primaire
0782426N,Ecole maternelle Henri Wallon,78,Les-Mureaux,78130,primaire
0782427P,Ecole maternelle Jules Ferry,78,Les-Mureaux,78130,primaire
0782428R,Ecole maternelle des groux,78,Vaux-sur-Seine,78740,primaire
0782429S,Ecole maternelle Jean Moulin,78,Aubergenville,78410,primaire
0782430T,Ecole maternelle Antoine de Saint-Exupéry,78,Marly-le-Roi,78160,primaire
0782431U,Ecole maternelle Professeur Ramon,78,Marly-le-Roi,78160,primaire
0782433W,Ecole maternelle du Haut des Guerines,78,L'Étang-la-Ville,78620,primaire
0782434X,Ecole maternelle Gabriel Fauré,78,Louveciennes,78430,primaire
0782435Y,Ecole maternelle Alexandre Dumas,78,Le-Port-Marly,78560,primaire
0782436Z,Ecole maternelle Pierre de Ronsard,78,Poissy,78300,primaire
0782437A,Ecole maternelle Foch,78,Poissy,78300,primaire
0782439C,Ecole maternelle Les Sablons,78,Poissy,78300,primaire
0782440D,Ecole maternelle Abbaye,78,Poissy,78300,primaire
0782441E,Ecole maternelle Blaise Pascal,78,Poissy,78300,primaire
0782442F,Ecole maternelle Michel de Montaigne,78,Poissy,78300,primaire
0782443G,Ecole maternelle Champfleury,78,Carrières-sous-Poissy,78955,primaire
0782490H,Ecole maternelle Arc en Ciel,78,Houdan,78550,primaire
0782491J,Ecole maternelle du Centre,78,Rambouillet,78120,primaire
0782492K,Ecole maternelle La Louvière,78,Rambouillet,78120,primaire
0782494M,Ecole maternelle Claude Monet,78,Bougival,78380,primaire
0782495N,Ecole maternelle Jules Ferry,78,La-Celle-Saint-Cloud,78170,primaire
0782497R,Ecole maternelle Pierre et Marie Curie,78,La-Celle-Saint-Cloud,78170,primaire
0782498S,Ecole maternelle Morel de Vinde,78,La-Celle-Saint-Cloud,78170,primaire
0782508C,Ecole maternelle d'application Le Long Chemin,78,Conflans-Sainte-Honorine,78700,primaire
0782509D,Ecole maternelle Chennevières,78,Conflans-Sainte-Honorine,78700,primaire
0782510E,Ecole maternelle Saint-Exupéry,78,Andrésy,78570,primaire
0782512G,Ecole maternelle Plateau du Moulin,78,Conflans-Sainte-Honorine,78700,primaire
0782513H,Ecole maternelle Croix Blanche,78,Conflans-Sainte-Honorine,78700,primaire
0782514J,Ecole maternelle Les Basses Roches,78,Conflans-Sainte-Honorine,78700,primaire
